transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,holiday_indicator,weekday
1,2824,843,Fridge,Electronics,3,188.46,3/31/2024 21:46,3,"Miami, FL",29,Other,98760.83,Silver,Credit Card,TRUE,None,FALSE,Friday
2,1409,135,TV,Electronics,4,1912.04,7/28/2024 12:45,5,"Dallas, TX",34,Other,69781.93,Gold,Cash,TRUE,Percentage Discount,FALSE,Monday
3,5506,391,Fridge,Electronics,4,1377.75,06-10-2024 04:55,1,"Los Angeles, CA",69,Other,77373.1,Platinum,Cash,FALSE,None,FALSE,Tuesday
4,5012,710,Smartphone,Electronics,5,182.31,8/15/2024 1:03,5,"Miami, FL",47,Other,33383.04,Silver,Cash,TRUE,Percentage Discount,TRUE,Sunday
5,4657,116,Laptop,Electronics,3,499.28,9/13/2024 0:45,6,"Chicago, IL",70,Female,108999.41,Bronze,Digital Wallet,FALSE,None,FALSE,Thursday
6,3286,630,Camera,Electronics,4,1465.38,07-06-2024 07:24,1,"New York, NY",40,Male,31779.77,Bronze,Credit Card,TRUE,None,TRUE,Saturday
7,2679,238,Laptop,Appliances,3,1904.7,3/17/2024 22:33,3,"Dallas, TX",54,Female,75813.17,Platinum,Cash,FALSE,BOGO,FALSE,Sunday
8,9935,409,Tablet,Electronics,4,875.16,7/22/2024 13:57,16,"Los Angeles, CA",57,Female,115784.29,Silver,Debit Card,FALSE,Percentage Discount,TRUE,Thursday
9,2424,106,Camera,Electronics,4,1627.48,3/30/2024 4:10,12,"New York, NY",64,Other,77392.78,Platinum,Credit Card,FALSE,None,TRUE,Saturday
10,7912,407,Laptop,Appliances,5,666.27,6/17/2024 16:59,10,"Chicago, IL",24,Male,44787.7,Bronze,Digital Wallet,TRUE,None,TRUE,Monday
11,1520,327,Tablet,Electronics,3,155.24,04-03-2024 11:37,12,"Los Angeles, CA",67,Male,101268.72,Platinum,Cash,FALSE,None,FALSE,Sunday
12,1488,319,Smartphone,Appliances,3,1076.79,6/19/2024 10:41,9,"Miami, FL",25,Female,52253.32,Silver,Debit Card,TRUE,None,TRUE,Monday
13,2535,976,Headphones,Appliances,2,1165.56,03-01-2024 04:08,3,"New York, NY",49,Female,22027.62,Bronze,Digital Wallet,FALSE,None,TRUE,Thursday
14,4582,422,Washing Machine,Appliances,3,778.17,6/24/2024 17:34,13,"Miami, FL",30,Female,65337.53,Gold,Digital Wallet,FALSE,None,TRUE,Thursday
15,4811,122,TV,Appliances,2,399.52,07-11-2024 11:58,9,"Los Angeles, CA",54,Male,81043.27,Bronze,Digital Wallet,FALSE,None,FALSE,Saturday
